Name,new_Name,geo_loc
Banashankari,Bangalore Banashankari,"(12.9278196, 77.556621)"
Basavanagudi,Bangalore Basavanagudi,"(12.9417261, 77.5755021)"
Mysore Road,Bangalore Mysore Road,"(12.9466619, 77.5300896)"
Jayanagar,Bangalore Jayanagar,"(12.9292731, 77.5824229)"
Kumaraswamy Layout,Bangalore Kumaraswamy Layout,"(12.9067683, 77.5595021)"
Rajarajeshwari Nagar,Bangalore Rajarajeshwari Nagar,"(12.9274413, 77.5155224)"
Vijay Nagar,Bangalore Vijay Nagar,"(23.1883478, 79.9092722)"
Uttarahalli,Bangalore Uttarahalli,"(12.9055682, 77.5455438)"
JP Nagar,Bangalore JP Nagar,"(12.9096941, 77.5866067)"
South Bangalore,Bangalore South Bangalore,"(12.8955829, 77.6026219)"
City Market,Bangalore City Market,"(39.7688062, -86.1534508)"
Bannerghatta Road,Bangalore Bannerghatta Road,"(12.9517431, 77.6039495)"
BTM,Bangalore BTM,"(45.95454, -112.4965538)"
Kanakapura Road,Bangalore Kanakapura Road,"(12.855748, 77.52542)"
Bommanahalli,Bangalore Bommanahalli,"(13.1273532, 77.359826)"
CV Raman Nagar,Bangalore CV Raman Nagar,"(17.2510682, 80.1651978)"
Electronic City,Bangalore Electronic City,"(12.8436448, 77.6686835)"
Sarjapur Road,Bangalore Sarjapur Road,"(12.9239942, 77.6530304)"
Wilson Garden,Bangalore Wilson Garden,"(12.9489339, 77.5968273)"
Shanti Nagar,Bangalore Shanti Nagar,"(22.478459, 88.3541291)"
Koramangala 5th Block,Bangalore Koramangala 5th Block,"(12.9348429, 77.6189768)"
Richmond Road,Bangalore Richmond Road,"(40.608043, -74.0915408)"
HSR,Bangalore HSR,"(29.1523467, 75.7245798)"
Marathahalli,Bangalore Marathahalli,"(12.9552572, 77.6984163)"
Koramangala 7th Block,Bangalore Koramangala 7th Block,"(12.9364846, 77.6134783)"
Bellandur,Bangalore Bellandur,"(12.9361208, 77.6671843)"
Whitefield,Bangalore Whitefield,"(44.3731286, -71.6119661)"
East Bangalore,Bangalore East Bangalore,"(12.8504319, 77.6601401)"
Old Airport Road,Bangalore Old Airport Road,"(7.1284766, 125.653065)"
Indiranagar,Bangalore Indiranagar,"(12.9732913, 77.6404672)"
Koramangala 1st Block,Bangalore Koramangala 1st Block,"(12.9277245, 77.6327822)"
Frazer Town,Bangalore Frazer Town,"(12.9975851, 77.6136744)"
MG Road,Bangalore MG Road,"(12.9755264, 77.6067902)"
Brigade Road,Bangalore Brigade Road,"(-36.9749169, 174.7822815)"
Lavelle Road,Bangalore Lavelle Road,"(-36.8868048, 174.6376724)"
Church Street,Bangalore Church Street,"(40.7146427, -74.008155)"
Ulsoor,Bangalore Ulsoor,"(12.9778793, 77.6246697)"
Residency Road,Bangalore Residency Road,"(13.0553065, 77.6255268)"
Shivajinagar,Bangalore Shivajinagar,"(18.5325915, 73.8513115)"
Infantry Road,Bangalore Infantry Road,"(12.9810155, 77.6021329)"
St. Marks Road,Bangalore St. Marks Road,"(51.4066715, -0.1623292)"
Cunningham Road,Bangalore Cunningham Road,"(12.9884255, 77.5938978)"
Race Course Road,Bangalore Race Course Road,"(1.3112423, 103.8527845)"
Commercial Street,Bangalore Commercial Street,"(51.5228983, -0.0776922)"
Vasanth Nagar,Bangalore Vasanth Nagar,"(12.9921738, 77.591459)"
Domlur,Bangalore Domlur,"(12.9624669, 77.6381958)"
Koramangala 8th Block,Bangalore Koramangala 8th Block,"(12.9408685, 77.617338)"
Ejipura,Bangalore Ejipura,"(12.945245, 77.6274776)"
